ID,Year,Fall,Name,NameType,Mass,Latitude,Longitude
7760,1947-01-01T00:00:00.000,Fell,Eagle,Valid,10000,40.78167,-96.47167
7774,1961-01-01T00:00:00.000,Fell,Ehole,Valid,2400,-17.3,15.83333
7775,1785-01-01T00:00:00.000,Fell,Eichstädt,Valid,3000,48.9,11.21667
7776,1939-01-01T00:00:00.000,Fell,Ekeby,Valid,3336,56.03333,13.0
7777,1916-01-01T00:00:00.000,Fell,Ekh Khera,Valid,840,28.26667,78.78333
7807,1989-01-01T00:00:00.000,Fell,El Idrissia,Valid,10000,34.41667,3.25
45977,1977-01-01T00:00:00.000,Fell,El Paso de Aguila,Valid,17226,25.37,-97.37
7819,1993-01-01T00:00:00.000,Fell,El Tigre,Valid,5000,19.96722,-103.05167
7822,1998-01-01T00:00:00.000,Fell,Elbert,Valid,680.5,39.24667,-104.58817
7823,1400-01-01T00:00:00.000,Fell,Elbogen,Valid,107000,50.18333,12.73333
7824,1951-01-01T00:00:00.000,Fell,Elenovka,Valid,54640,47.83333,37.66667
10019,1925-01-01T00:00:00.000,Fell,Ellemeet,Valid,1470,51.75,4.0
10033,1900-01-01T00:00:00.000,Fell,Emmaville,Valid,127,-29.46667,151.61667
10038,1974-01-01T00:00:00.000,Fell,Enshi,Valid,8000,30.3,109.5
10039,1492-01-01T00:00:00.000,Fell,Ensisheim,Valid,127000,47.86667,7.35
10041,1822-01-01T00:00:00.000,Fell,Épinal,Valid,277,48.18333,6.46667
10042,1940-01-01T00:00:00.000,Fell,Erakot,Valid,113,19.03333,81.89167
10043,1911-01-01T00:00:00.000,Fell,Erevan,Valid,107.2,40.3,44.5
10044,1889-01-01T00:00:00.000,Fell,Ergheo,Valid,20000,1.16667,44.16667
10049,1812-01-01T00:00:00.000,Fell,Erxleben,Valid,2250,52.21667,11.25
10051,1837-01-01T00:00:00.000,Fell,Esnandes,Valid,1500,46.25,-1.1
10055,1957-01-01T00:00:00.000,Fell,Essebi,Valid,500,2.88333,30.83333
10059,1879-01-01T00:00:00.000,Fell,Estherville,Valid,320000,43.41667,-94.83333
10074,1890-01-01T00:00:00.000,Fell,Farmington,Valid,89400,39.75,-97.03333
